0	0	136
0	6	833
0	2	46
0	7	1126
0	1	186
0	2	17
0	6	226
0	9	169
0	2	53
0	3	140
0	11	17
0	8	1104
0	10	107
0	9	197
0	6	31
0	7	3
0	7	49
0	3	107
0	2	1
0	10	1112
0	0	141
0	9	664
0	7	160
5	9	8
0	0	51
36	11	78
44	7	779
22	2	5
0	6	165
0	5	537
0	1	4
0	7	59
0	2	58
0	12	549
1	4	170
0	12	1062
0	2	1
24	2	1029
0	11	897
0	2	1183
0	4	27
6	9	533
0	8	14
0	7	16
0	7	897
0	2	1708
0	4	894
0	12	740
0	3	128
0	6	2
0	11	280
0	11	200
0	4	17
0	12	986
0	8	2
0	10	2
0	1	109
20	5	48
0	8	16
0	2	213
8	8	105
0	5	442
16	6	1038
37	10	1169
36	3	10
0	3	129
0	6	100
0	4	216
38	3	64
0	4	306
0	1	205
0	9	1099
0	1	21
23	3	350
0	7	11
12	11	1105
0	6	834
0	6	14
0	2	1
0	1	4
19	2	441
0	0	54
0	0	51
0	0	51
0	1	54
0	1	54
0	1	54
0	0	51
0	0	54
0	0	51
0	2	54
0	0	115
0	0	54
0	0	54
0	2	51
0	1	97
0	5	51
0	4	51
0	1	51
0	1	51
0	0	146
0	8	136
0	6	51
0	0	54
0	2	54
0	7	148
0	0	51
0	2	54
0	6	51
0	0	64
0	0	64
0	3	64
0	2	59
0	0	59
0	0	44
0	1	59
0	0	18
0	1	64
0	0	64
0	1	59
0	0	64
0	2	64
0	2	54
0	1	64
0	0	68
0	1	68
0	4	59
0	1	59
0	1	59
0	1	59
0	0	64
0	2	64
0	1	59
0	3	70
0	0	55
0	0	50
0	0	64
0	4	64
0	1	59
0	0	59
0	0	59
0	0	64
0	0	59
0	0	64
0	1	59
0	1	64
0	1	59
0	1	59
0	0	59
0	1	59
0	0	59
0	2	64
0	1	68
0	0	64
0	0	59
0	0	68
0	1	19
0	0	59
0	1	124
0	0	80
0	0	124
0	0	124
0	0	80
0	4	80
0	0	832
0	5	636
0	1	124
0	4	124
0	0	124
0	0	80
0	0	124
0	2	124
0	0	80
0	3	80
0	0	80
0	2	124
0	0	124
0	2	80
0	1	80
0	1	80
0	0	207
0	6	124
0	3	124
0	0	80
0	0	80
0	5	80
0	0	80
0	0	80
0	0	80
0	1	80
0	0	80
0	1	569
0	3	834
0	2	80
0	1	124
0	2	80
0	5	80
0	0	80
0	0	124
0	0	124
0	0	80
0	1	80
0	2	80
0	0	124
0	0	80
0	5	1131
0	0	3
0	0	17
0	0	130
0	1	11
0	4	3
0	0	142
0	1	26
0	2	3
0	0	3
0	1	651
0	2	137
0	3	3
0	0	2
0	0	3
0	0	8
0	1	376
0	1	6
0	1	10
0	0	385
0	5	612
0	1	6
0	0	2
0	4	3
0	2	537
0	1	6
0	3	4
0	5	7
0	1	10
0	1	10
0	4	167
0	0	9
0	1	139
0	2	8
0	2	9
0	2	8
0	0	8
0	1	5
0	1	5
0	0	6
0	7	8
0	0	3
0	0	4
0	1	20
0	0	10
0	0	5
0	0	10
0	2	8
0	2	2
0	0	3
0	0	5
0	1	7
0	3	16
0	0	9
0	0	975
0	0	7
0	4	12
0	1	32
0	1	990
0	1	336
0	0	50
0	0	11
0	2	14
0	0	7
0	0	12
0	0	6
0	6	15
0	1	840
0	0	23
0	0	14
0	0	10
0	0	107
0	0	16
0	0	25
0	1	19
0	4	10
0	0	12
0	1	377
0	0	13
0	0	10
0	1	10
0	0	146
0	3	28
0	4	852
0	1	11
0	3	59
0	1	127
0	0	45
0	0	2
0	0	138
0	1	169
